status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,dropped_k,span,check
ok,0.04044324119915881,0.011071496060302471,3.652915647431835,0.00025958956091498564,48531,5838,0.9164643939823144,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,0,5,leave_one_relative_year
ok,0.03930594577992959,0.010097691530499865,3.892567490421628,9.933368861503311e-05,50705,6273,0.935456176766261,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,1,5,leave_one_relative_year
ok,0.036338953908716054,0.009607983422039931,3.7821624281071773,0.00015567330787535916,51184,6274,0.9353876392658891,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,2,5,leave_one_relative_year
ok,0.03545840430569795,0.00929028713793176,3.816717802071276,0.00013541832654606623,51613,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,3,5,leave_one_relative_year
ok,0.03643586048312099,0.009146838150361051,3.9834377611330933,6.803075695538396e-05,51933,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,4,5,leave_one_relative_year
ok,0.03647082457062193,0.009324954444787694,3.911099489714695,9.200910949003216e-05,52169,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,n_op_seg,5,5,leave_one_relative_year
ok,0.02415152531350495,0.007255133668952034,3.328887711174798,0.0008725481122804357,57978,6574,1.005360293019285,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,-5,5,leave_one_relative_year
ok,0.02628454236810769,0.007301225086087264,3.6000180871281167,0.00031849816332996106,57325,6574,1.005360293019285,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,-4,5,leave_one_relative_year
ok,0.02804015384245124,0.007458246152221782,3.7596176460464754,0.00017036593719765847,56817,6574,1.005360293019285,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,-3,5,leave_one_relative_year
ok,0.030445194895352398,0.00782361008827724,3.8914509480694783,9.977606162925312e-05,56410,6569,1.0057011483411944,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,-2,5,leave_one_relative_year
ok,0.032570988921292364,0.0085833781615762,3.7946585025343014,0.00014802866717666952,54079,6181,1.0091930409414838,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,-1,5,leave_one_relative_year
ok,0.03287352323147091,0.008330517786121807,3.946156058418892,7.952829100776881e-05,54423,6180,1.0006839490442052,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,0,5,leave_one_relative_year
ok,0.029408512943437555,0.007892537238079134,3.7261164637336477,0.00019466712463289682,56433,6573,1.0054284369112723,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,1,5,leave_one_relative_year
ok,0.029451987416183465,0.00763862367522613,3.855666762548239,0.00011555849883104763,56763,6575,1.0052921627047182,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,2,5,leave_one_relative_year
ok,0.027274974080592086,0.007365153207515197,3.7032459898813053,0.0002130849306911653,57060,6574,1.005360293019285,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,3,5,leave_one_relative_year
ok,0.02642189010897321,0.007314597306182007,3.6122139063817604,0.0003038866150066877,57369,6575,1.0052921627047182,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,4,5,leave_one_relative_year
ok,0.024419760945457888,0.007403154931129948,3.2985613799292306,0.0009724800690964486,57688,6573,1.0054284369112723,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,n_op_seg,5,5,leave_one_relative_year
ok,0.022295875265211772,0.006654341267347717,3.350575867609274,0.0008069971227089301,60159,6881,1.0124189229894092,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,n_op_seg,-5,5,leave_one_relative_year
ok,0.02377943529677652,0.006609052548571921,3.598009718036629,0.00032095372662976906,59850,6886,1.0111826501557115,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,n_op_seg,-4,5,leave_one_relative_year
